==PROF== Connected to process 102784 (/home/r00t/workspace/upstream/rvllm/v3/target/release/probe-gemma4-load)
==PROF== Disconnected from process 102784
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","102784","probe-gemma4-load","127.0.0.1","scale_cols_f32_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'389'888"
"1","102784","probe-gemma4-load","127.0.0.1","f32_to_f16_sat_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'540'064"
"2","102784","probe-gemma4-load","127.0.0.1","fused_gelu_mul_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","586'784"
"3","102784","probe-gemma4-load","127.0.0.1","fill_sfa_from_a_scale_sm120(const float *, float *, int, int, int)","1","13","(128, 1, 1)","(168, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5'120"
"4","102784","probe-gemma4-load","127.0.0.1","fill_sfb_from_b_chscale_sm120(const float *, float *, int, int)","1","13","(256, 1, 1)","(28, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'552"
"5","102784","probe-gemma4-load","127.0.0.1","void cutlass::device_kernel<cutlass::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::CollectiveMma<cutlass::MainloopSm120TmaWarpSpecializedBlockwiseScaling<2, 2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::KernelTmaWarpSpecializedCooperativeBlockwiseScalingSm120<2>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<1>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<128>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cute::TiledMMA<cute::MMA_Atom<cute::SM120_16x8x32_TN<cutlass::float_e4m3_t, cutlass::float_e4m3_t, float>>, cute::Layout<cute::tuple<cute::C<4>, cute::C<2>, cute::C<1>>, cute::tuple<cute::C<1>, cute::C<4>, cute::C<0>>>, cute::tuple<cute::C<128>, cute::C<32>, cute::C<32>>>, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity>, cutlass::CollectiveEpilogue<cutlass::Sm90TmaWarpSpecialized<2, 2, 4, 0, 1>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, void, cute::tuple<long, cute::C<1>, long>, cutlass::half_t, cute::tuple<long, cute::C<1>, long>, cutlass::FusionCallbacks<cutlass::Sm120TmaWarpSpecialized<2, 2, 4, 0, 1>, cutlass::LinearCombination<cutlass::half_t, float, void, float, 2>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, >, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM75_U32x2_LDSM_N, cute::SM90_TMA_STORE, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM90_U32x2_STSM_N, cute::Copy_Atom<cute::SM90_U32x2_STSM_N, cutlass::half_t>, void>, void, void>>(T1::Params)","1","13","(384, 1, 1)","(8, 42, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'889'024"
"6","102784","probe-gemma4-load","127.0.0.1","fused_norm_add_residual_f16in_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","153'376"
"7","102784","probe-gemma4-load","127.0.0.1","fused_rmsnorm_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","123'008"
"8","102784","probe-gemma4-load","127.0.0.1","nvjet_sm121_qqsss_mma_192x160x128_2_48x80x128_tmaAB_bz_TNNN","1","13","(64, 4, 1)","(688, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'448'064"
"9","102784","probe-gemma4-load","127.0.0.1","scale_rows_f32_ratio_kernel","1","13","(256, 1, 1)","(65536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","526'240"
"10","102784","probe-gemma4-load","127.0.0.1","scale_cols_f32_kernel","1","13","(256, 1, 1)","(65536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","506'080"
"11","102784","probe-gemma4-load","127.0.0.1","f32_to_f16_sat_kernel","1","13","(256, 1, 1)","(65536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","569'664"
"12","102784","probe-gemma4-load","127.0.0.1","fused_qkv_rmsnorm_kernel","1","13","(256, 1, 1)","(1024, 64, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","382'720"
"13","102784","probe-gemma4-load","127.0.0.1","fused_rope_partial_fp8kv_kernel","1","13","(128, 1, 1)","(1024, 32, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","286'144"
"14","102784","probe-gemma4-load","127.0.0.1","flash_attention_2_prefill_fp8kv_unified_kernel","1","13","(128, 1, 1)","(129, 16, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","53'861'760"
"15","102784","probe-gemma4-load","127.0.0.1","quantize_fp8_per_token_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","128'480"
"16","102784","probe-gemma4-load","127.0.0.1","fill_sfa_from_a_scale_sm120(const float *, float *, int, int, int)","1","13","(128, 1, 1)","(64, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'264"
"17","102784","probe-gemma4-load","127.0.0.1","fill_sfb_from_b_chscale_sm120(const float *, float *, int, int)","1","13","(256, 1, 1)","(11, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'360"
"18","102784","probe-gemma4-load","127.0.0.1","void cutlass::device_kernel<cutlass::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::CollectiveMma<cutlass::MainloopSm120TmaWarpSpecializedBlockwiseScaling<2, 2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::KernelTmaWarpSpecializedCooperativeBlockwiseScalingSm120<2>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<1>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<128>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cute::TiledMMA<cute::MMA_Atom<cute::SM120_16x8x32_TN<cutlass::float_e4m3_t, cutlass::float_e4m3_t, float>>, cute::Layout<cute::tuple<cute::C<4>, cute::C<2>, cute::C<1>>, cute::tuple<cute::C<1>, cute::C<4>, cute::C<0>>>, cute::tuple<cute::C<128>, cute::C<32>, cute::C<32>>>, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity>, cutlass::CollectiveEpilogue<cutlass::Sm90TmaWarpSpecialized<2, 2, 4, 0, 1>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, void, cute::tuple<long, cute::C<1>, long>, cutlass::half_t, cute::tuple<long, cute::C<1>, long>, cutlass::FusionCallbacks<cutlass::Sm120TmaWarpSpecialized<2, 2, 4, 0, 1>, cutlass::LinearCombination<cutlass::half_t, float, void, float, 2>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, >, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM75_U32x2_LDSM_N, cute::SM90_TMA_STORE, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM90_U32x2_STSM_N, cute::Copy_Atom<cute::SM90_U32x2_STSM_N, cutlass::half_t>, void>, void, void>>(T1::Params)","1","13","(384, 1, 1)","(8, 42, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","706'912"
"19","102784","probe-gemma4-load","127.0.0.1","fused_norm_add_residual_f16in_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","152'672"
"20","102784","probe-gemma4-load","127.0.0.1","fused_rmsnorm_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","120'768"
"21","102784","probe-gemma4-load","127.0.0.1","nvjet_sm121_qqsss_mma_192x176x128_2_48x88x128_tmaAB_bz_TNNN","1","13","(64, 4, 1)","(1792, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'419'808"
"22","102784","probe-gemma4-load","127.0.0.1","scale_rows_f32_ratio_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'402'624"
"23","102784","probe-gemma4-load","127.0.0.1","scale_cols_f32_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'382'560"
"24","102784","probe-gemma4-load","127.0.0.1","f32_to_f16_sat_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'540'608"
"25","102784","probe-gemma4-load","127.0.0.1","fused_gelu_mul_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","588'992"
"26","102784","probe-gemma4-load","127.0.0.1","fill_sfa_from_a_scale_sm120(const float *, float *, int, int, int)","1","13","(128, 1, 1)","(168, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5'056"
"27","102784","probe-gemma4-load","127.0.0.1","fill_sfb_from_b_chscale_sm120(const float *, float *, int, int)","1","13","(256, 1, 1)","(28, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2'656"
"28","102784","probe-gemma4-load","127.0.0.1","void cutlass::device_kernel<cutlass::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::CollectiveMma<cutlass::MainloopSm120TmaWarpSpecializedBlockwiseScaling<2, 2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::KernelTmaWarpSpecializedCooperativeBlockwiseScalingSm120<2>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<1>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<128>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cute::TiledMMA<cute::MMA_Atom<cute::SM120_16x8x32_TN<cutlass::float_e4m3_t, cutlass::float_e4m3_t, float>>, cute::Layout<cute::tuple<cute::C<4>, cute::C<2>, cute::C<1>>, cute::tuple<cute::C<1>, cute::C<4>, cute::C<0>>>, cute::tuple<cute::C<128>, cute::C<32>, cute::C<32>>>, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity>, cutlass::CollectiveEpilogue<cutlass::Sm90TmaWarpSpecialized<2, 2, 4, 0, 1>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, void, cute::tuple<long, cute::C<1>, long>, cutlass::half_t, cute::tuple<long, cute::C<1>, long>, cutlass::FusionCallbacks<cutlass::Sm120TmaWarpSpecialized<2, 2, 4, 0, 1>, cutlass::LinearCombination<cutlass::half_t, float, void, float, 2>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, >, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM75_U32x2_LDSM_N, cute::SM90_TMA_STORE, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM90_U32x2_STSM_N, cute::Copy_Atom<cute::SM90_U32x2_STSM_N, cutlass::half_t>, void>, void, void>>(T1::Params)","1","13","(384, 1, 1)","(8, 42, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'901'696"
"29","102784","probe-gemma4-load","127.0.0.1","fused_norm_add_residual_f16in_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","152'736"
"30","102784","probe-gemma4-load","127.0.0.1","fused_rmsnorm_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","122'080"
"31","102784","probe-gemma4-load","127.0.0.1","nvjet_sm121_qqsss_mma_192x176x128_2_48x88x128_tmaAB_bz_TNNN","1","13","(64, 4, 1)","(856, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'575'872"
"32","102784","probe-gemma4-load","127.0.0.1","scale_rows_f32_ratio_kernel","1","13","(256, 1, 1)","(81920, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","662'016"
"33","102784","probe-gemma4-load","127.0.0.1","scale_cols_f32_kernel","1","13","(256, 1, 1)","(81920, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","640'960"
"34","102784","probe-gemma4-load","127.0.0.1","f32_to_f16_sat_kernel","1","13","(256, 1, 1)","(81920, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","717'024"
"35","102784","probe-gemma4-load","127.0.0.1","fused_qkv_rmsnorm_kernel","1","13","(512, 1, 1)","(1024, 40, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","489'408"
"36","102784","probe-gemma4-load","127.0.0.1","fused_rope_partial_fp8kv_kernel","1","13","(256, 1, 1)","(1024, 32, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","356'000"
"37","102784","probe-gemma4-load","127.0.0.1","flash_attention_2_prefill_fp8kv_unified_kernel","1","13","(128, 1, 1)","(513, 4, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","95'332'832"
"38","102784","probe-gemma4-load","127.0.0.1","quantize_fp8_per_token_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","285'504"
"39","102784","probe-gemma4-load","127.0.0.1","fill_sfa_from_a_scale_sm120(const float *, float *, int, int, int)","1","13","(128, 1, 1)","(128, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4'384"
"40","102784","probe-gemma4-load","127.0.0.1","fill_sfb_from_b_chscale_sm120(const float *, float *, int, int)","1","13","(256, 1, 1)","(21, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'328"
"41","102784","probe-gemma4-load","127.0.0.1","void cutlass::device_kernel<cutlass::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::CollectiveMma<cutlass::MainloopSm120TmaWarpSpecializedBlockwiseScaling<2, 2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::KernelTmaWarpSpecializedCooperativeBlockwiseScalingSm120<2>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<1>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<128>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cute::TiledMMA<cute::MMA_Atom<cute::SM120_16x8x32_TN<cutlass::float_e4m3_t, cutlass::float_e4m3_t, float>>, cute::Layout<cute::tuple<cute::C<4>, cute::C<2>, cute::C<1>>, cute::tuple<cute::C<1>, cute::C<4>, cute::C<0>>>, cute::tuple<cute::C<128>, cute::C<32>, cute::C<32>>>, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity>, cutlass::CollectiveEpilogue<cutlass::Sm90TmaWarpSpecialized<2, 2, 4, 0, 1>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, void, cute::tuple<long, cute::C<1>, long>, cutlass::half_t, cute::tuple<long, cute::C<1>, long>, cutlass::FusionCallbacks<cutlass::Sm120TmaWarpSpecialized<2, 2, 4, 0, 1>, cutlass::LinearCombination<cutlass::half_t, float, void, float, 2>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, >, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM75_U32x2_LDSM_N, cute::SM90_TMA_STORE, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM90_U32x2_STSM_N, cute::Copy_Atom<cute::SM90_U32x2_STSM_N, cutlass::half_t>, void>, void, void>>(T1::Params)","1","13","(384, 1, 1)","(8, 42, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'420'960"
"42","102784","probe-gemma4-load","127.0.0.1","fused_norm_add_residual_f16in_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","152'672"
"43","102784","probe-gemma4-load","127.0.0.1","fused_rmsnorm_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","120'672"
"44","102784","probe-gemma4-load","127.0.0.1","nvjet_sm121_qqsss_mma_192x176x128_2_48x88x128_tmaAB_bz_TNNN","1","13","(64, 4, 1)","(1792, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3'286'336"
"45","102784","probe-gemma4-load","127.0.0.1","scale_rows_f32_ratio_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'406'080"
"46","102784","probe-gemma4-load","127.0.0.1","scale_cols_f32_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'386'944"
"47","102784","probe-gemma4-load","127.0.0.1","f32_to_f16_sat_kernel","1","13","(256, 1, 1)","(172032, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1'540'256"
"48","102784","probe-gemma4-load","127.0.0.1","fused_gelu_mul_fp8_quant_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","590'240"
"49","102784","probe-gemma4-load","127.0.0.1","fill_sfa_from_a_scale_sm120(const float *, float *, int, int, int)","1","13","(128, 1, 1)","(168, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5'056"
"50","102784","probe-gemma4-load","127.0.0.1","fill_sfb_from_b_chscale_sm120(const float *, float *, int, int)","1","13","(256, 1, 1)","(28, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2'592"
"51","102784","probe-gemma4-load","127.0.0.1","void cutlass::device_kernel<cutlass::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::CollectiveMma<cutlass::MainloopSm120TmaWarpSpecializedBlockwiseScaling<2, 2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::KernelTmaWarpSpecializedCooperativeBlockwiseScalingSm120<2>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<1>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cutlass::float_e4m3_t, cute::tuple<cute::tuple<long, cute::C<1>, long>, cute::Layout<cute::tuple<cute::tuple<cute::C<128>, int>, cute::tuple<cute::C<128>, int>, int>, cute::tuple<cute::tuple<cute::C<0>, cute::C<1>>, cute::tuple<cute::C<0>, int>, int>>>, cute::TiledMMA<cute::MMA_Atom<cute::SM120_16x8x32_TN<cutlass::float_e4m3_t, cutlass::float_e4m3_t, float>>, cute::Layout<cute::tuple<cute::C<4>, cute::C<2>, cute::C<1>>, cute::tuple<cute::C<1>, cute::C<4>, cute::C<0>>>, cute::tuple<cute::C<128>, cute::C<32>, cute::C<32>>>, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<3, 4, 3>, cute::smem_ptr_flag_bits<8>, cute::Layout<cute::tuple<cute::C<8>, cute::C<128>>, cute::tuple<cute::C<128>, cute::C<1>>>>, cute::Copy_Atom<cute::SM75_U32x4_LDSM_N, unsigned char>, cute::identity>, cutlass::CollectiveEpilogue<cutlass::Sm90TmaWarpSpecialized<2, 2, 4, 0, 1>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, void, cute::tuple<long, cute::C<1>, long>, cutlass::half_t, cute::tuple<long, cute::C<1>, long>, cutlass::FusionCallbacks<cutlass::Sm120TmaWarpSpecialized<2, 2, 4, 0, 1>, cutlass::LinearCombination<cutlass::half_t, float, void, float, 2>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<64>, cute::C<32>>, >, cute::SM90_TMA_LOAD, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM75_U32x2_LDSM_N, cute::SM90_TMA_STORE, cute::ComposedLayout<cute::Swizzle<2, 4, 3>, cute::smem_ptr_flag_bits<16>, cute::Layout<cute::tuple<cute::C<8>, cute::C<32>>, cute::tuple<cute::C<32>, cute::C<1>>>>, cute::SM90_U32x2_STSM_N, cute::Copy_Atom<cute::SM90_U32x2_STSM_N, cutlass::half_t>, void>, void, void>>(T1::Params)","1","13","(384, 1, 1)","(8, 42, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2'651'488"
"52","102784","probe-gemma4-load","127.0.0.1","fused_norm_add_residual_f16in_kernel","1","13","(1024, 1, 1)","(1024, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","153'792"
